Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61811608;2024-07-15 10:16:33;HPD;DOOR/WINDOW;631 WEST  152 STREET;Closed;MANHATTAN;40.83119149754304;-73.94802250680976
61811611;2024-07-15 10:33:22;HPD;PLUMBING;47-47 46 STREET;Closed;QUEENS;40.74027210653828;-73.91926406727254
61811610;2024-07-15 09:43:26;HPD;ELECTRIC;2411 FREDERICK DOUGLAS BOULEVARD;Closed;MANHATTAN;40.81282713425973;-73.94923983376826
61811606;2024-07-15 02:28:27;HPD;APPLIANCE;1631 GRAND AVENUE;Closed;BRONX;40.846743038690974;-73.91555657732063
61811617;2024-07-15 21:47:47;HPD;ELECTRIC;259-21A FRANCIS LEWIS BOULEVARD;Closed;QUEENS;40.65620735580203;-73.72750914258724
61811620;2024-07-15 15:45:30;HPD;FLOORING/STAIRS;516 CHAUNCEY STREET;Closed;BROOKLYN;40.682483491946456;-73.91130817498521
61811612;2024-07-15 11:06:49;HPD;ELECTRIC;425 ROCKAWAY PARKWAY;Closed;BROOKLYN;40.657635959031175;-73.91622485149466
61811623;2024-07-15 18:32:18;HPD;FLOORING/STAIRS;643 PORT RICHMOND AVENUE;Closed;STATEN ISLAND;40.62739681846531;-74.14224230826122
61811628;2024-07-15 22:14:08;HPD;GENERAL;1742 EAST  172 STREET;Closed;BRONX;40.83258373587881;-73.86920068822464
61811632;2024-07-15 15:53:24;HPD;DOOR/WINDOW;1362 WEST    7 STREET;Closed;BROOKLYN;40.612433634947614;-73.98154838181658
61811624;2024-07-15 13:33:11;HPD;GENERAL;105 CLARKE PLACE EAST;Closed;BRONX;40.83753545410419;-73.91681506298184
61811631;2024-07-15 05:42:08;HPD;DOOR/WINDOW;340 MAPLE STREET;Closed;BROOKLYN;40.660894179220875;-73.9494023032745
61811636;2024-07-15 21:26:11;HPD;PAINT/PLASTER;53 EAST  131 STREET;Closed;MANHATTAN;40.8093300190546;-73.93738668006867
61811640;2024-07-15 13:32:24;HPD;DOOR/WINDOW;1019 VAN SICLEN AVENUE;Closed;BROOKLYN;40.65503989714099;-73.88232145462146
61811643;2024-07-15 15:34:48;HPD;ELECTRIC;1356 CLAY AVENUE;Closed;BRONX;40.835860471272795;-73.90862463098405
61811642;2024-07-15 12:52:15;HPD;ELECTRIC;173 FATHER ZEISER PLACE;Closed;BRONX;40.86343512380515;-73.90686585226518
61811639;2024-07-15 11:35:26;HPD;DOOR/WINDOW;53 EAST  177 STREET;Closed;BRONX;40.849960351655795;-73.90901732421489
61415770;2024-06-08 12:16:27;HPD;FLOORING/STAIRS;410 ST NICHOLAS AVENUE;Closed;MANHATTAN;40.81411182353892;-73.94960373018408
61415817;2024-06-08 12:16:14;HPD;UNSANITARY CONDITION;410 ST NICHOLAS AVENUE;Closed;MANHATTAN;40.81411182353892;-73.94960373018408
61811648;2024-07-15 23:30:55;HPD;FLOORING/STAIRS;1784 LINDEN BOULEVARD;Closed;BROOKLYN;40.65774615749246;-73.89649548777841
61811646;2024-07-15 15:44:39;HPD;DOOR/WINDOW;635 EAST  169 STREET;Closed;BRONX;40.831391304313954;-73.90103503197089
61811653;2024-07-15 09:59:48;HPD;FLOORING/STAIRS;41-02 53 STREET;Closed;QUEENS;40.74554989822495;-73.9113036128707
61811655;2024-07-15 13:16:44;HPD;FLOORING/STAIRS;406 MARYLAND AVENUE;Closed;STATEN ISLAND;40.60911477512276;-74.0740333105005
61811652;2024-07-15 20:33:14;HPD;ELECTRIC;9201 KINGS HIGHWAY;Closed;BROOKLYN;40.656398942182676;-73.92135863828743
61811666;2024-07-15 20:15:00;HPD;FLOORING/STAIRS;870 ST NICHOLAS AVENUE;Closed;MANHATTAN;40.829648766864956;-73.94185188825256
61811667;2024-07-15 07:46:26;HPD;FLOORING/STAIRS;2140 BARNES AVENUE;Closed;BRONX;40.8546724674753;-73.86385427474612
61811661;2024-07-15 14:20:39;HPD;DOOR/WINDOW;140 CASALS PLACE;Closed;BRONX;40.878857002162135;-73.82399445349276
61811660;2024-07-15 17:07:02;HPD;APPLIANCE;402 EAST  136 STREET;Closed;BRONX;40.80774630721975;-73.92370842287426
61811662;2024-07-15 07:24:01;HPD;GENERAL;221 HIMROD STREET;Closed;BROOKLYN;40.699521466297945;-73.92043501589184
61811670;2024-07-15 00:36:43;HPD;GENERAL;6223 5 AVENUE;Closed;BROOKLYN;40.63816344507708;-74.01752192413504
61811671;2024-07-15 11:58:00;HPD;GENERAL;1566 EASTERN PARKWAY EXTENSION;Closed;BROOKLYN;40.6709728992122;-73.9163018265456
61811676;2024-07-15 10:16:33;HPD;DOOR/WINDOW;631 WEST  152 STREET;Closed;MANHATTAN;40.83119149754304;-73.94802250680976
61811673;2024-07-15 10:33:22;HPD;GENERAL;47-47 46 STREET;Closed;QUEENS;40.74027210653828;-73.91926406727254
61811672;2024-07-15 16:40:39;HPD;GENERAL;718 EAST  149 STREET;Closed;BRONX;40.81318657341566;-73.90889419223052
